UNITID,ROOM,APPLFEEU,ASSOC1,SPORT1,SPORT2,SPORT3,SPORT4,STUFACR
133553,1,50,1,2,1,1,1,17
133650,1,35,1,1,1,1,1,15
133669,1,30,1,1,1,1,1,21
133702,1,25,0,2,2,2,2,24
133711,1,50,1,2,1,1,1,16
133809,1,50,0,2,1,2,1,13
133845,2,100,0,2,2,2,2,30
133854,2,100,0,2,2,2,2,27
133863,2,0,0,2,2,2,2,36
133872,1,20,0,2,2,2,2,6
133881,1,0,1,1,1,1,1,14
133942,2,0,-2,2,2,2,2,15
133951,1,30,1,1,1,1,1,27
133960,1,30,0,2,2,2,2,12
133979,1,25,0,2,1,1,1,13
133997,2,0,0,2,2,2,2,15
134024,2,100,-2,-2,-2,-2,-2,4
134079,1,0,1,2,1,1,1,14
134097,1,30,1,1,1,1,1,21
134112,2,150,0,2,2,2,2,50
134130,1,30,1,1,1,1,1,17
134228,2,0,-2,-2,-2,-2,-2,8
134237,2,75,0,2,2,2,2,27
134291,2,20,-2,2,2,2,2,25
134307,2,15,-2,2,2,2,2,14
134343,2,20,0,2,2,2,2,19
134495,1,0,0,2,2,2,2,24
134510,1,25,0,2,2,2,2,11
